time,sigmal , sigmap ,sigmai, rse
69.38474,0.01,0.00001,100000,0.964506
68.926444,0.01,0.0001,0.00001,0.997712
68.271214,0.01,0.0001,0.0001,0.997712
69.329541,0.01,0.0001,0.001,0.997712
69.754195,0.01,0.0001,0.01,0.997712
68.066469,0.01,0.0001,0.1,0.997712
67.816631,0.01,0.0001,0.5,0.997712
68.945607,0.01,0.0001,10,0.997712
69.935807,0.01,0.0001,100,0.9977
87.963708,0.01,0.0001,1000,0.970495
91.437356,0.01,0.0001,10000,0.968246
88.006983,0.01,0.0001,100000,0.962994
88.237233,0.01,0.001,0.00001,0.997712
87.818438,0.01,0.001,0.0001,0.997712
87.896439,0.01,0.001,0.001,0.997712
88.044612,0.01,0.001,0.01,0.997712
87.991839,0.01,0.001,0.1,0.997712
87.137721,0.01,0.001,0.5,0.997712
87.990931,0.01,0.001,10,0.997712
87.867196,0.01,0.001,100,0.99771
87.939728,0.01,0.001,1000,0.97022
87.853665,0.01,0.001,10000,0.964199
88.011775,0.01,0.001,100000,0.964064
89.521338,0.01,0.01,0.00001,0.997712
88.144957,0.01,0.01,0.0001,0.997712
87.954065,0.01,0.01,0.001,0.997712
88.06603,0.01,0.01,0.01,0.997712
87.796352,0.01,0.01,0.1,0.997712
87.958265,0.01,0.01,0.5,0.997712
99.552998,0.01,0.01,10,0.997712
97.477655,0.01,0.01,100,0.997706
100.698303,0.01,0.01,1000,0.974057
99.655131,0.01,0.01,10000,0.964158
98.939041,0.01,0.01,100000,0.967147
97.324707,0.01,0.1,0.00001,0.997712
99.003399,0.01,0.1,0.0001,0.997712
96.729349,0.01,0.1,0.001,0.997712
98.86861,0.01,0.1,0.01,0.997712
96.662353,0.01,0.1,0.1,0.997712
95.433576,0.01,0.1,0.5,0.997712
95.944893,0.01,0.1,10,0.997712
88.756079,0.01,0.1,100,0.997708
95.834193,0.01,0.1,1000,0.974745
97.157395,0.01,0.1,10000,0.968214
100.69457,0.01,0.1,100000,0.965351
98.405182,0.01,0.5,0.00001,0.997712
96.228194,0.01,0.5,0.0001,0.997712
96.83083,0.01,0.5,0.001,0.997712
96.835932,0.01,0.5,0.01,0.997712
94.308117,0.01,0.5,0.1,0.997712
96.335671,0.01,0.5,0.5,0.997712
98.287579,0.01,0.5,10,0.997712
95.496543,0.01,0.5,100,0.997704
97.99406,0.01,0.5,1000,0.971555
96.578074,0.01,0.5,10000,0.970256
96.03,0.01,0.5,100000,0.963834
99.422949,0.01,10,0.00001,0.997712
96.899679,0.01,10,0.0001,0.997712
97.412362,0.01,10,0.001,0.997712
97.455114,0.01,10,0.01,0.997712
97.438455,0.01,10,0.1,0.997712
97.250261,0.01,10,0.5,0.997712
98.365864,0.01,10,10,0.997712
97.212585,0.01,10,100,0.997698
100.868677,0.01,10,1000,0.877689
98.818028,0.01,10,10000,0.860677
99.416197,0.01,10,100000,0.886462
98.727985,0.01,100,0.00001,0.997712
97.523805,0.01,100,0.0001,0.997712
96.689746,0.01,100,0.001,0.997712
99.30741,0.01,100,0.01,0.997712
97.147942,0.01,100,0.1,0.997712
95.248803,0.01,100,0.5,0.997712
97.16782,0.01,100,10,0.997712
97.655429,0.01,100,100,0.997708
120.741266,0.01,100,1000,0.733615
110.841893,0.01,100,10000,0.711935
104.434446,0.01,100,100000,0.709096
98.299233,0.01,1000,0.00001,0.997712
96.035235,0.01,1000,0.0001,0.997712
97.525763,0.01,1000,0.001,0.997712
98.863797,0.01,1000,0.01,0.997712
98.504445,0.01,1000,0.1,0.997712
95.715809,0.01,1000,0.5,0.997712
96.413453,0.01,1000,10,0.997712
96.088985,0.01,1000,100,0.997706
111.007068,0.01,1000,1000,0.708778
98.305351,0.01,1000,10000,0.675317
96.525125,0.01,1000,100000,0.674912
98.168394,0.01,10000,0.00001,0.997712
98.490011,0.01,10000,0.0001,0.997712
97.209088,0.01,10000,0.001,0.997712
95.920653,0.01,10000,0.01,0.997712
97.202973,0.01,10000,0.1,0.997712
96.098026,0.01,10000,0.5,0.997712
98.781482,0.01,10000,10,0.997712
96.329895,0.01,10000,100,0.997704
120.277298,0.01,10000,1000,0.699601
104.164173,0.01,10000,10000,0.749838
95.455548,0.01,10000,100000,0.777526
98.37167,0.01,100000,0.00001,0.997712
97.133621,0.01,100000,0.0001,0.997712
97.877488,0.01,100000,0.001,0.997712
96.900347,0.01,100000,0.01,0.997712
96.229153,0.01,100000,0.1,0.997712
96.96686,0.01,100000,0.5,0.997712
95.658586,0.01,100000,10,0.997712
97.55463,0.01,100000,100,0.997705
118.941839,0.01,100000,1000,0.733984
97.527631,0.01,100000,10000,0.680767
98.330873,0.01,100000,100000,0.723012
96.511205,0.1,0.00001,0.00001,0.997712
97.534842,0.1,0.00001,0.0001,0.997712
98.4958,0.1,0.00001,0.001,0.997712
99.778047,0.1,0.00001,0.01,0.997712
95.970243,0.1,0.00001,0.1,0.997712
94.096861,0.1,0.00001,0.5,0.997712
98.35462,0.1,0.00001,10,0.997712
98.154362,0.1,0.00001,100,0.997699
100.77919,0.1,0.00001,1000,0.973843
99.149395,0.1,0.00001,10000,0.968175
99.268281,0.1,0.00001,100000,0.964211
98.026962,0.1,0.0001,0.00001,0.997712
98.797368,0.1,0.0001,0.0001,0.997712
94.822228,0.1,0.0001,0.001,0.997712
96.647755,0.1,0.0001,0.01,0.997712
96.257666,0.1,0.0001,0.1,0.997712
98.508135,0.1,0.0001,0.5,0.997712
97.569085,0.1,0.0001,10,0.997712
97.36536,0.1,0.0001,100,0.99771
98.499995,0.1,0.0001,1000,0.973059
99.364303,0.1,0.0001,10000,0.965138
97.485564,0.1,0.0001,100000,0.966786
97.617264,0.1,0.001,0.00001,0.997712
96.469272,0.1,0.001,0.0001,0.997712
97.957252,0.1,0.001,0.001,0.997712
98.02653,0.1,0.001,0.01,0.997712
97.679961,0.1,0.001,0.1,0.997712
97.24957,0.1,0.001,0.5,0.997712
96.993771,0.1,0.001,10,0.997712
102.137733,0.1,0.001,100,0.997709
97.634875,0.1,0.001,1000,0.971244
100.411284,0.1,0.001,10000,0.965357
99.09248,0.1,0.001,100000,0.969234
98.249843,0.1,0.01,0.00001,0.997712
99.119111,0.1,0.01,0.0001,0.997712
98.811816,0.1,0.01,0.001,0.997712
97.594269,0.1,0.01,0.01,0.997712
96.253631,0.1,0.01,0.1,0.997712
95.403507,0.1,0.01,0.5,0.997712
96.434757,0.1,0.01,10,0.997712
98.569077,0.1,0.01,100,0.997708
101.582375,0.1,0.01,1000,0.968914
