kernel ; missing rate ; time ; rse completion ; rse whole; rse whole_inc
rbf ; 0.500000 ; 255.608039 ; 10472.443109 ; 0.447692; 0.447692
linxrbf ; 0.500000 ; 304.962867 ; 6165.983008 ; 13546.824797; 0.689950
// Iteration 4; Missing rate = 0.600000; RSE (X, X_ic) = 21819.621378
Linear ; 0.600000 ; 341.200587 ; 11182.669237 ; 14874.341199; 0.761080
rbf ; 0.600000 ; 272.322508 ; 18942.795711 ; 0.522966; 0.522966
linxrbf ; 0.600000 ; 320.717908 ; 11984.939857 ; 15941.460926; 0.743855
// Iteration 4; Missing rate = 0.700000; RSE (X, X_ic) = 23468.793044
Linear ; 0.700000 ; 339.648842 ; 12285.542789 ; 16692.766301; 0.823443
rbf ; 0.700000 ; 277.115681 ; 19942.253602 ; 0.602197; 0.602197
linxrbf ; 0.700000 ; 303.867540 ; 13224.789057 ; 17968.950733; 0.833391
// Iteration 4; Missing rate = 0.800000; RSE (X, X_ic) = 25028.001058
Linear ; 0.800000 ; 345.071051 ; 13522.530084 ; 19215.467376; 0.891246
rbf ; 0.800000 ; 266.061557 ; 20338.047943 ; 0.696742; 0.696742
linxrbf ; 0.800000 ; 322.671885 ; 14731.401786 ; 20933.269785; 0.909848
// Iteration 4; Missing rate = 0.900000; RSE (X, X_ic) = 26712.040126
Linear ; 0.900000 ; 340.528357 ; 13786.575200 ; 22782.369628; 0.948009
rbf ; 0.900000 ; 279.765849 ; 18668.156969 ; 0.833192; 0.833192
linxrbf ; 0.900000 ; 304.598338 ; 14636.650558 ; 24187.122494; 0.993791
// Iteration 4; Missing rate = 0.920000; RSE (X, X_ic) = 26955.873262
Linear ; 0.920000 ; 337.354069 ; 16653.675045 ; 23438.349488; 0.970599
rbf ; 0.920000 ; 269.695577 ; 22117.040939 ; 0.856943; 0.856943
linxrbf ; 0.920000 ; 303.478899 ; 17415.836856 ; 24511.014522; 1.010563
// Iteration 4; Missing rate = 0.940000; RSE (X, X_ic) = 27244.171649
Linear ; 0.940000 ; 365.460468 ; 19614.395602 ; 24328.664104; 0.984853
rbf ; 0.940000 ; 275.473927 ; 25361.779648 ; 0.887039; 0.887039
linxrbf ; 0.940000 ; 319.113588 ; 20819.876486 ; 25823.879154; 1.062535
// Iteration 4; Missing rate = 0.960000; RSE (X, X_ic) = 27588.818533
Linear ; 0.960000 ; 385.541453 ; 43314.002691 ; 25483.723494; 1.012897
rbf ; 0.960000 ; 261.264188 ; 54137.864205 ; 0.926145; 0.926145
linxrbf ; 0.960000 ; 327.008963 ; 45340.486979 ; 26676.002250; 1.083488
// Iteration 4; Missing rate = 0.980000; RSE (X, X_ic) = 27869.935354
Linear ; 0.980000 ; 358.182785 ; 12756.597551 ; 26417.129251; 1.023869
rbf ; 0.980000 ; 277.132075 ; 15540.447315 ; 0.961961; 0.961961
linxrbf ; 0.980000 ; 312.478038 ; 13212.891221 ; 27362.049619; 1.100815
// Iteration 5; Missing rate = 0.100000; RSE (X, X_ic) = 8658.004864
Linear ; 0.100000 ; 324.543416 ; 3612.700089 ; 5668.070185; 0.290550
rbf ; 0.100000 ; 258.784104 ; 6367.765102 ; 0.159110; 0.159110
linxrbf ; 0.100000 ; 302.047146 ; 3390.773965 ; 5319.883838; 0.291045
// Iteration 5; Missing rate = 0.400000; RSE (X, X_ic) = 17848.900951
Linear ; 0.400000 ; 318.833909 ; 6122.683573 ; 11167.686142; 0.600831
rbf ; 0.400000 ; 290.995896 ; 11302.339653 ; 0.379718; 0.379718
linxrbf ; 0.400000 ; 298.688272 ; 6639.032264 ; 12109.498676; 0.603547
// Iteration 5; Missing rate = 0.500000; RSE (X, X_ic) = 19875.497488
Linear ; 0.500000 ; 331.317773 ; 14300.046163 ; 13154.129755; 0.691514
rbf ; 0.500000 ; 265.437971 ; 24944.138247 ; 0.445763; 0.445763
linxrbf ; 0.500000 ; 309.363057 ; 15349.719884 ; 14119.689178; 0.689159
// Iteration 5; Missing rate = 0.600000; RSE (X, X_ic) = 21707.272222
Linear ; 0.600000 ; 341.014075 ; 7502.767397 ; 14714.137577; 0.754971
rbf ; 0.600000 ; 264.684793 ; 12781.533171 ; 0.518105; 0.518105
linxrbf ; 0.600000 ; 315.188262 ; 7925.259667 ; 15542.713095; 0.748716
// Iteration 5; Missing rate = 0.700000; RSE (X, X_ic) = 23535.961413
Linear ; 0.700000 ; 344.393637 ; 23887.653073 ; 16891.121673; 0.829531
rbf ; 0.700000 ; 268.307229 ; 38441.676523 ; 0.606584; 0.606584
linxrbf ; 0.700000 ; 317.916524 ; 26268.075233 ; 18574.334344; 0.853853
// Iteration 5; Missing rate = 0.800000; RSE (X, X_ic) = 25256.366675
Linear ; 0.800000 ; 348.099732 ; 25291.440316 ; 19527.773779; 0.884710
rbf ; 0.800000 ; 267.210018 ; 37766.558656 ; 0.712280; 0.712280
linxrbf ; 0.800000 ; 310.710640 ; 28090.848294 ; 21689.224651; 0.920026
// Iteration 5; Missing rate = 0.900000; RSE (X, X_ic) = 26665.303131
Linear ; 0.900000 ; 347.348718 ; 10755.473274 ; 22718.092077; 0.947549
rbf ; 0.900000 ; 267.450986 ; 14576.239261 ; 0.827997; 0.827997
linxrbf ; 0.900000 ; 325.209257 ; 11557.041344 ; 24411.192582; 0.999757
// Iteration 5; Missing rate = 0.920000; RSE (X, X_ic) = 26986.186508
Linear ; 0.920000 ; 346.225729 ; 10856.469315 ; 23661.125937; 0.971896
rbf ; 0.920000 ; 264.038704 ; 14296.030306 ; 0.859487; 0.859487
linxrbf ; 0.920000 ; 310.351615 ; 11441.973552 ; 24937.202818; 1.033637
// Iteration 5; Missing rate = 0.940000; RSE (X, X_ic) = 27274.648473
Linear ; 0.940000 ; 359.010868 ; 124794.268930 ; 24474.169513; 0.989873
rbf ; 0.940000 ; 269.326019 ; 160592.542354 ; 0.890634; 0.890634
linxrbf ; 0.940000 ; 328.968279 ; 130007.580638 ; 25496.584048; 1.042137
// Iteration 5; Missing rate = 0.960000; RSE (X, X_ic) = 27579.806673
Linear ; 0.960000 ; 368.764429 ; 15040.825961 ; 25460.278123; 1.008719
rbf ; 0.960000 ; 279.797647 ; 18814.274997 ; 0.925790; 0.925790
linxrbf ; 0.960000 ; 325.474125 ; 15899.768416 ; 26914.248393; 1.081142
// Iteration 5; Missing rate = 0.980000; RSE (X, X_ic) = 27884.274446
Linear ; 0.980000 ; 351.679674 ; 12520.915196 ; 26447.121113; 1.029922
rbf ; 0.980000 ; 272.699382 ; 15245.471862 ; 0.964238; 0.964238
linxrbf ; 0.980000 ; 331.533714 ; 13018.512834 ; 27498.164491; 1.127697
// Iteration 6; Missing rate = 0.100000; RSE (X, X_ic) = 8664.336120
Linear ; 0.100000 ; 296.133368 ; 3092.966315 ; 6065.806052; 0.292139
rbf ; 0.100000 ; 281.752775 ; 5105.283198 ; 0.160155; 0.160155
linxrbf ; 0.100000 ; 300.718407 ; 3005.499994 ; 5894.270481; 0.289213
// Iteration 6; Missing rate = 0.400000; RSE (X, X_ic) = 17817.640432
Linear ; 0.400000 ; 321.182611 ; 5297.090269 ; 11591.386169; 0.606839
rbf ; 0.400000 ; 268.698684 ; 9403.356827 ; 0.378601; 0.378601
linxrbf ; 0.400000 ; 314.772146 ; 5610.573842 ; 12277.368277; 0.597298
// Iteration 6; Missing rate = 0.500000; RSE (X, X_ic) = 19816.629427
Linear ; 0.500000 ; 327.853857 ; 6152.733396 ; 13135.318059; 0.692847
rbf ; 0.500000 ; 279.368142 ; 10719.826099 ; 0.444294; 0.444294
linxrbf ; 0.500000 ; 294.819460 ; 6679.564182 ; 14260.036048; 0.686106
// Iteration 6; Missing rate = 0.600000; RSE (X, X_ic) = 21734.075396
Linear ; 0.600000 ; 340.538247 ; 52844.636999 ; 14656.465389; 0.751747
rbf ; 0.600000 ; 263.778332 ; 90472.532323 ; 0.518844; 0.518844
linxrbf ; 0.600000 ; 345.804528 ; 59120.098080 ; 16396.965151; 0.761220
// Iteration 6; Missing rate = 0.700000; RSE (X, X_ic) = 23472.563350
Linear ; 0.700000 ; 353.324273 ; 10402.068527 ; 16383.734362; 0.822727
rbf ; 0.700000 ; 311.828312 ; 17212.120388 ; 0.603229; 0.603229
linxrbf ; 0.700000 ; 302.982451 ; 11344.246874 ; 17867.708414; 0.838221
// Iteration 6; Missing rate = 0.800000; RSE (X, X_ic) = 25206.261164
Linear ; 0.800000 ; 368.297607 ; 12071.224323 ; 19232.538778; 0.885996
rbf ; 0.800000 ; 261.447916 ; 18262.564233 ; 0.708226; 0.708226
linxrbf ; 0.800000 ; 309.034316 ; 13039.059786 ; 20774.547490; 0.899659
// Iteration 6; Missing rate = 0.900000; RSE (X, X_ic) = 26676.988928
Linear ; 0.900000 ; 350.476175 ; 10605.281827 ; 22736.285191; 0.953008
rbf ; 0.900000 ; 276.361210 ; 14369.865771 ; 0.829657; 0.829657
linxrbf ; 0.900000 ; 324.070150 ; 11485.267551 ; 24622.855176; 1.016769
// Iteration 6; Missing rate = 0.920000; RSE (X, X_ic) = 26995.168849
Linear ; 0.920000 ; 361.132909 ; 19375.606266 ; 23730.173384; 0.975543
rbf ; 0.920000 ; 282.452033 ; 25451.301464 ; 0.860796; 0.860796
linxrbf ; 0.920000 ; 317.579968 ; 20596.436724 ; 25225.379162; 1.028366
// Iteration 6; Missing rate = 0.940000; RSE (X, X_ic) = 27294.555952
Linear ; 0.940000 ; 362.237289 ; 27297.230031 ; 24532.485267; 0.988294
rbf ; 0.940000 ; 276.124635 ; 35073.571357 ; 0.893226; 0.893226
linxrbf ; 0.940000 ; 305.791059 ; 28325.289651 ; 25456.419946; 1.024161
// Iteration 6; Missing rate = 0.960000; RSE (X, X_ic) = 27601.645645
Linear ; 0.960000 ; 372.013503 ; 11859.645272 ; 25531.630612; 1.012574
rbf ; 0.960000 ; 272.757225 ; 14805.672143 ; 0.928520; 0.928520
linxrbf ; 0.960000 ; 308.244788 ; 12448.586823 ; 26799.513232; 1.071753
// Iteration 6; Missing rate = 0.980000; RSE (X, X_ic) = 27863.961155
Linear ; 0.980000 ; 351.585292 ; 29395.076437 ; 26417.855540; 1.029460
rbf ; 0.980000 ; 266.671389 ; 35789.621733 ; 0.959934; 0.959934
linxrbf ; 0.980000 ; 319.543810 ; 30654.871851 ; 27550.055122; 1.116829
// Iteration 7; Missing rate = 0.100000; RSE (X, X_ic) = 8952.997125
Linear ; 0.100000 ; 305.754401 ; 5907.654610 ; 5734.710102; 0.289857
rbf ; 0.100000 ; 287.730004 ; 10653.913430 ; 0.165676; 0.165676
linxrbf ; 0.100000 ; 324.273669 ; 5591.570526 ; 5427.879268; 0.286336
// Iteration 7; Missing rate = 0.400000; RSE (X, X_ic) = 17843.295301
Linear ; 0.400000 ; 325.319192 ; 11756.947920 ; 11528.636037; 0.601647
rbf ; 0.400000 ; 268.070443 ; 21010.303878 ; 0.379067; 0.379067
linxrbf ; 0.400000 ; 326.770294 ; 12684.052416 ; 12437.736798; 0.601084
// Iteration 7; Missing rate = 0.500000; RSE (X, X_ic) = 20000.695923
Linear ; 0.500000 ; 322.463659 ; 24683.206122 ; 13257.008777; 0.685757
